year,category,nominee,workers,winner
1953,Film | British Actor in 1953,Ralph Richardson,The Sound Barrier,True
1955,Film | British Screenplay in 1955,The Young Lovers,"George Tabori, Robin Estridge",True
1955,Film | British Screenplay in 1955,The Divided Heart,Jack Whittingham,False
1955,Film | British Screenplay in 1955,Doctor In The House,Nicholas Phipps,False
1955,Film | British Screenplay in 1955,Hobson's Choice,"David Lean, Norman Spencer, Wynyard Browne",False
1955,Film | British Screenplay in 1955,The Knave Of Hearts,"Hugh Mills, René Clément",False
1955,Film | British Screenplay in 1955,The Maggie,William Rose,False
1955,Film | British Screenplay in 1955,The Purple Plain,Eric Ambler,False
1955,Film | British Screenplay in 1955,Romeo And Juliet,Renato Castellani,False
1955,Film | Foreign Actor in 1955,On The Waterfront,Marlon Brando,True
1955,Film | Foreign Actor in 1955,Riot In Cell Block 11,Neville Brand,False
1955,Film | Foreign Actor in 1955,The Caine Mutiny,José Ferrer,False
1955,Film | Foreign Actor in 1955,Executive Suite,Fredric March,False
1955,Film | Foreign Actor in 1955,The Glenn Miller Story,James Stewart,False
1955,Film | Foreign Actress in 1955,The Divided Heart,Cornell Borchers,True
1955,Film | Foreign Actress in 1955,About Mrs Leslie,Shirley Booth,False
1955,Film | Foreign Actress in 1955,Phffft,Judy Holliday,False
1955,Film | Foreign Actress in 1955,Dial M For Murder,Grace Kelly,False
1955,Film | Foreign Actress in 1955,"Bread, Love And Dreams (Pane, Amore E Fantasia)",Gina Lollobrigida,False
1955,Film | Most Promising Newcomer To Film in 1955,The Young Lovers,David Kossoff,True
1955,Film | Most Promising Newcomer To Film in 1955,The Moon is Blue,Maggie McNamara,False
1955,Film | Most Promising Newcomer To Film in 1955,On the Waterfront,Eva Marie Saint,False
1956,Film | British Actor in 1956,Laurence Olivier,Richard III,True
1956,Film | British Actor in 1956,Alfie Bass,The Bespoke Overcoat,False
1956,Film | British Actor in 1956,Alec Guinness,The Prisoner,False
1956,Film | British Actor in 1956,Jack Hawkins,The Prisoner,False
1956,Film | British Actor in 1956,David Kossoff,A Kid For Two Farthings,False
1956,Film | British Actor in 1956,Kenneth More,The Deep Blue Sea,False
1956,Film | British Actor in 1956,Michael Redgrave,The Night My Number Came Up,False
1956,Film | British Actress in 1956,Katie Johnson,The Ladykillers,True
1956,Film | British Actress in 1956,Margaret Johnson,Touch And Go,False
1956,Film | British Actress in 1956,Deborah Kerr,The End Of The Affair,False
1956,Film | British Actress in 1956,Margaret Lockwood,Cast A Dark Shadow,False
1956,Film | British Screenplay in 1956,The Ladykillers,William Rose,True
1956,Film | British Screenplay in 1956,The Constant Husband,"Sidney Gilliat, Val Valentine",False
1956,Film | British Screenplay in 1956,The Dambusters,RC Sherriff,False
1956,Film | British Screenplay in 1956,The Deep Blue Sea,Terence Rattigan,False
1956,Film | British Screenplay in 1956,Doctor At Sea,"Nicholas Phipps, Jack Davies",False
1956,Film | British Screenplay in 1956,The Night My Number Came Up,RC Sherriff,False
1956,Film | British Screenplay in 1956,The Prisoner,Bridget Boland,False
1956,Film | British Screenplay in 1956,Simba,John Baines,False
1956,Film | British Screenplay in 1956,Touch And Go,William Rose,False
1956,Film | Foreign Actor in 1956,Marty,Ernest Borgnine,True
1956,Film | Foreign Actor in 1956,East Of Eden,James Dean,False
1956,Film | Foreign Actor in 1956,Mister Roberts,Jack Lemmon,False
1956,Film | Foreign Actor in 1956,Seven Samurai (Shichinin No Samurai),Toshiro Mifune,False
1956,Film | Foreign Actor in 1956,Seven Samurai (Shichinin No Samurai),Takashi Shimura,False
1956,Film | Foreign Actor in 1956,Not as a Stranger,Frank Sinatra,False
1956,Film | Foreign Actress in 1956,Marty,Betsy Blair,True
1956,Film | Foreign Actress in 1956,Carmen Jones,Dorothy Dandridge,False
1956,Film | Foreign Actress in 1956,A Star Is Born,Judy Garland,False
1956,Film | Foreign Actress in 1956,I Am A Camera,Julie Harris,False
1956,Film | Foreign Actress in 1956,Summer Madness,Katharine Hepburn,False
1956,Film | Foreign Actress in 1956,The Country Girl,Grace Kelly,False
1956,Film | Foreign Actress in 1956,The Road (La Strada),Giulietta Masina,False
1956,Film | Foreign Actress in 1956,The Seven Year Itch,Marilyn Monroe,False
1956,Film | Most Promising Newcomer To Film in 1956,That Lady,Paul Scofield,True
1956,Film | Most Promising Newcomer To Film in 1956,East Of Eden,Jo Van Fleet,False
1957,Film | British Actor in 1957,Peter Finch,A Town Like Alice,True
1957,Film | British Actor in 1957,Jack Hawkins,The Long Arm,False
1957,Film | British Actor in 1957,Kenneth More,Reach For The Sky,False
1957,Film | British Actress in 1957,Virginia McKenna,A Town Like Alice,True
1957,Film | British Actress in 1957,Dorothy Allison,Reach For The Sky,False
1957,Film | British Actress in 1957,Audrey Hepburn,War And Peace,False
1957,Film | British Screenplay in 1957,The Man Who Never Was,Nigel Balchin,True
1957,Film | British Screenplay in 1957,The Battle Of the River Plate,"Michael Powell, Emeric Pressburger",False
1957,Film | British Screenplay in 1957,The Green Man,"Sidney Gilliat, Frank Launder",False
1957,Film | British Screenplay in 1957,Private's Progress,"Frank Harvey, John Boulting",False
1957,Film | British Screenplay in 1957,Reach For The Sky,Lewis Gilbert,False
1957,Film | British Screenplay in 1957,Smiley,"Moore Raymond, Anthony Kimmins",False
1957,Film | British Screenplay in 1957,Three Men In A Boat,"Hubert Gregg, Vernon Harris",False
1957,Film | British Screenplay in 1957,A Town Like Alice,"WP Lipscomb, Richard Mason",False
1957,Film | British Screenplay in 1957,Yield To The Night,"John Cresswell, Joan Henry",False
1957,Film | Foreign Actor in 1957,Gervaise,François Périer,True
1957,Film | Foreign Actor in 1957,Smiles Of A Summer Night (Sommarnattens Leende),Gunnar Björnstrand,False
1957,Film | Foreign Actor in 1957,Rebel Without A Cause,James Dean,False
1957,Film | Foreign Actor in 1957,The  Unfrocked One (Le Défroqué),Pierre Fresnay,False
1957,Film | Foreign Actor in 1957,Picnic,William Holden,False
1957,Film | Foreign Actor in 1957,Baby Doll,Karl Malden,False
1957,Film | Foreign Actor in 1957,The Man With The Golden Arm,Frank Sinatra,False
1957,Film | Foreign Actor in 1957,The Mountain,Spencer Tracy,False
1957,Film | Foreign Actress in 1957,The Rose Tattoo,Anna Magnani,True
1957,Film | Foreign Actress in 1957,Baby Doll,Carroll Baker,False
1957,Film | Foreign Actress in 1957,Smiles Of A Summer Night (Sommarnattens Leende),Eva Dahlbeck,False
1957,Film | Foreign Actress in 1957,Bhowhani Junction,Ava Gardner,False
1957,Film | Foreign Actress in 1957,I'll Cry Tomorrow,Susan Hayward,False
1957,Film | Foreign Actress in 1957,The Trouble With Harry,Shirley MacLaine,False
1957,Film | Foreign Actress in 1957,Picnic,Kim Novak,False
1957,Film | Foreign Actress in 1957,The Rose Tattoo,Marisa Pavan,False
1957,Film | Foreign Actress in 1957,Gervaise,Maria Schell,False
1957,Film | Foreign Actress in 1957,Guys And Dolls,Jean Simmons,False
1957,Film | Most Promising Newcomer To Film in 1957,Baby Doll,Eli Wallach,True
1957,Film | Most Promising Newcomer To Film in 1957,The Man Who Never Was,Stephen Boyd,False
1957,Film | Most Promising Newcomer To Film in 1957,Bus Stop,Don Murray,False
1957,Film | Most Promising Newcomer To Film in 1957,Picnic,Susan Strasberg,False
1957,Film | Most Promising Newcomer To Film in 1957,Patterns Of Power,Elizabeth Wilson,False
1958,Film | British Actor in 1958,Alec Guinness,The Bridge On The River Kwai,True
1958,Film | British Actor in 1958,Peter Finch,Windom's Way,False
1958,Film | British Actor in 1958,Trevor Howard,Manuela,False
1958,Film | British Actor in 1958,Laurence Olivier,The Prince And The Showgirl,False
1958,Film | British Actor in 1958,Michael Redgrave,Time Without Pity,False
1958,Film | British Actress in 1958,Heather Sears,The Story Of Esther Costello,True
1958,Film | British Actress in 1958,Deborah Kerr,Tea and Sympathy,False
1958,Film | British Actress in 1958,Sylvia Syms,Woman In A Dressing Gown,False
1958,Film | British Screenplay in 1958,The Bridge On The River Kwai,Pierre Boulle,True
1958,Film | British Screenplay in 1958,Anastasia,Arthur Laurents,False
1958,Film | British Screenplay in 1958,The Birthday Present,Jack Whittingham,False
1958,Film | British Screenplay in 1958,Hell Drivers,"John Kruse, C Raker Endfield",False
1958,Film | British Screenplay in 1958,The Man In The Sky,"William Rose, John Eldridge",False
1958,Film | British Screenplay in 1958,The Prince And The Showgirl,Terence Rattigan,False
1958,Film | British Screenplay in 1958,The Smallest Show On Earth,"William Rose, John Eldridge",False
1958,Film | British Screenplay in 1958,The Story Of Esther Costello,Charles Kaufman,False
1958,Film | British Screenplay in 1958,Windom's Way,Jill Craigie,False
1958,Film | British Screenplay in 1958,Woman In A Dressing Gown,Ted Willis,False
1958,Film | Foreign Actor in 1958,Twelve Angry Men,Henry Fonda,True
1958,Film | Foreign Actor in 1958,Time Limit,Richard Basehart,False
1958,Film | Foreign Actor in 1958,The Gates Of Paris (Porte Des Lilas),Pierre Brasseur,False
1958,Film | Foreign Actor in 1958,The Sweet Smell of Success,Tony Curtis,False
1958,Film | Foreign Actor in 1958,Pig Across Paris (La Traversée De Paris),Jean Gabin,False
1958,Film | Foreign Actor in 1958,"Heaven Knows, Mr Allison",Robert Mitchum,False
1958,Film | Foreign Actor in 1958,A Man Is Ten Feet Tall,Sidney Poitier,False
1958,Film | Foreign Actor in 1958,The Great Man,Ed Wynn,False
1958,Film | Foreign Actress in 1958,The Witches Of Salem (Les Sorcières De Salem),Simone Signoret,True
1958,Film | Foreign Actress in 1958,That Night,Augusta Dabney,False
1958,Film | Foreign Actress in 1958,The Rainmaker,Katharine Hepburn,False
1958,Film | Foreign Actress in 1958,The Prince And The Showgirl,Marilyn Monroe,False
1958,Film | Foreign Actress in 1958,Is Anna Anderson Anastasia? (Anastasia - Die Letzte Zarentochter),Lili Palmer,False
1958,Film | Foreign Actress in 1958,A Hatful Of Rain,Eva Marie Saint,False
1958,Film | Foreign Actress in 1958,The Three Faces Of Eve,Joanne Woodward,False
1958,Film | Most Promising Newcomer To Film in 1958,Brothers In Law,Eric Barker,True
1958,Film | Most Promising Newcomer To Film in 1958,The Witches Of Salem ( Les Sorcières De Salem),Mylene Demongeot,False
1958,Film | Most Promising Newcomer To Film in 1958,True As A Turtle,Elvi Hale,False
1958,Film | Most Promising Newcomer To Film in 1958,The Young Stranger,James McArthur,False
1958,Film | Most Promising Newcomer To Film in 1958,True As A Turtle,Keith Michell,False
1959,Film | British Actor in 1959,Trevor Howard,The Key,True
1959,Film | British Actor in 1959,Michael Craig,Sea Of Sand,False
1959,Film | British Actor in 1959,Laurence Harvey,Room At The Top,False
1959,Film | British Actor in 1959,IS Johar,Harry Black,False
1959,Film | British Actor in 1959,Anthony Quayle,Ice Cold In Alex,False
1959,Film | British Actor in 1959,Terry Thomas,Tom Thumb,False
1959,Film | British Actor in 1959,Donald Wolfit,Room At The Top,False
1959,Film | British Actress in 1959,Irene Worth,Orders To Kill,True
1959,Film | British Actress in 1959,Hermione Baddeley,Room At The Top,False
1959,Film | British Actress in 1959,Karuna Banerjee,The Unvanquished (Aparajito),False
1959,Film | British Actress in 1959,Virginia McKenna,Carve Her Name With Pride,False
1959,Film | British Screenplay in 1959,Orders to Kill,Paul Dehn,True
1959,Film | British Screenplay in 1959,Bonjour Tristesse,Arthur Laurents,False
1959,Film | British Screenplay in 1959,A Cry From The Streets,Vernon Harris,False
1959,Film | British Screenplay in 1959,Ice Cold In Alex,TJ Morrison,False
1959,Film | British Screenplay in 1959,Indiscreet,Norman Krasna,False
1959,Film | British Screenplay in 1959,The Inn of the Sixth Happiness,Isobel Lennart,False
1959,Film | British Screenplay in 1959,The Key,Carl Foreman,False
1959,Film | British Screenplay in 1959,The Man Upstairs,Alun Falconer,False
1959,Film | British Screenplay in 1959,A Night To Remember,Eric Ambler,False
1959,Film | British Screenplay in 1959,Violent Playground,James Kennaway,False
1959,Film | Foreign Actor in 1959,The Defiant Ones,Sidney Poitier,True
1959,Film | Foreign Actor in 1959,The Young Lions,Marlon Brando,False
1959,Film | Foreign Actor in 1959,The Defiant Ones,Tony Curtis,False
1959,Film | Foreign Actor in 1959,The Sheepman,Glenn Ford,False
1959,Film | Foreign Actor in 1959,The Enemy Below/The Inn Of The Sixth Happiness,Curt Jurgens,False
1959,Film | Foreign Actor in 1959,Witness For The Prosecution,Charles Laughton,False
1959,Film | Foreign Actor in 1959,Cat On A Hot Tin Roof,Paul Newman,False
1959,Film | Foreign Actor in 1959,Wild Strawberries (Smultronstället),Victor Sjostrom,False
1959,Film | Foreign Actor in 1959,The Last Hurrah,Spencer Tracy,False
1959,Film | Foreign Actress in 1959,Room At The Top,Simone Signoret,True
1959,Film | Foreign Actress in 1959,The Inn Of The Sixth Happiness,Ingrid Bergman,False
1959,Film | Foreign Actress in 1959,Wild Is The Wind,Anna Magnani,False
1959,Film | Foreign Actress in 1959,Cabiria (Le Notti Di Cabiria),Giulietta Masina,False
1959,Film | Foreign Actress in 1959,The Cranes Are Flying (Letyat Zhuravli),Tatyana Samojlova,False
1959,Film | Foreign Actress in 1959,Cat on a Hot Tin Roof,Elizabeth Taylor,False
1959,Film | Foreign Actress in 1959,No Down Payment,Joanne Woodward,False
1959,Film | Most Promising Newcomer To Film in 1959,Orders To Kill,Paul Massie,True
1959,Film | Most Promising Newcomer To Film in 1959,Sayonara,Red Buttons,False
1959,Film | Most Promising Newcomer To Film in 1959,Canal (Kanal),Teresa Izewska,False
1959,Film | Most Promising Newcomer To Film in 1959,Room At The Top,Mary Peach,False
1959,Film | Most Promising Newcomer To Film in 1959,Camp On Blood Island,Ronald Radd,False
1959,Film | Most Promising Newcomer To Film in 1959,Nowhere To Go,Maggie Smith,False
1959,Film | Most Promising Newcomer To Film in 1959,What Lola Wants,Gwen Vernon,False
1960,Film | British Actor in 1960,Peter Sellers,I'm All Right Jack,True
1960,Film | British Actor in 1960,Stanley Baker,Yesterday's Enemy,False
1960,Film | British Actor in 1960,Richard Burton,Look Back In Anger,False
1960,Film | British Actor in 1960,Peter Finch,The Nun's Story,False
1960,Film | British Actor in 1960,Laurence Harvey,Expresso Bongo,False
1960,Film | British Actor in 1960,Gordon Jackson,Yesterday's Enemy,False
1960,Film | British Actor in 1960,Laurence Olivier,The Devil's Disciple,False
1960,Film | British Actress in 1960,Audrey Hepburn,The Nun's Story,True
1960,Film | British Actress in 1960,Peggy Ashcroft,The Nun's Story,False
1960,Film | British Actress in 1960,Wendy Hiller,Separate Tables,False
1960,Film | British Actress in 1960,Yvonne Mitchell,Sapphire,False
1960,Film | British Actress in 1960,Sylvia Syms,No Trees In The Street,False
1960,Film | British Actress in 1960,Kay Walsh,The Horse's Mouth,False
1960,Film | British Film in 1960,Sapphire,Basil Dearden,True
1960,Film | British Film in 1960,Look Back In Anger,Tony Richardson,False
1960,Film | British Film in 1960,North West Frontier,J Lee Thompson,False
1960,Film | British Film in 1960,Tiger Bay,J Lee Thompson,False
1960,Film | British Film in 1960,Yesterday's Enemy,Val Guest,False
1960,Film | British Screenplay in 1960,"I'm All Right, Jack","Frank Harvey, John Boulting, Alan Hackney",True
1960,Film | British Screenplay in 1960,Blind Date,"Ben Barzman, Millard Lampell",False
1960,Film | British Screenplay in 1960,Expresso Bongo,Wolf Mankowitz,False
1960,Film | British Screenplay in 1960,The Horse's Mouth,Alec Guinness,False
1960,Film | British Screenplay in 1960,Look Back In Anger,Nigel Kneale,False
1960,Film | British Screenplay in 1960,North West Frontier,Robin Estridge,False
1960,Film | British Screenplay in 1960,No Trees In The Street,Ted Willis,False
1960,Film | British Screenplay in 1960,Sapphire,Janet Green,False
1960,Film | British Screenplay in 1960,Tiger Bay,"John Hawkesworth, Shelley Smith",False
1960,Film | Film From Any Source in 1960,Ben Hur,William Wyler,True
1960,Film | Film From Any Source in 1960,Anatomy Of A Murder,Otto Preminger,False
1960,Film | Film From Any Source in 1960,The Face (Ansiktet),Ingmar Bergman,False
1960,Film | Film From Any Source in 1960,The Big Country,William Wyler,False
1960,Film | Film From Any Source in 1960,Compulsion,Richard Fleischer,False
1960,Film | Film From Any Source in 1960,Gigi,Vincente Minnelli,False
1960,Film | Film From Any Source in 1960,Look Back In Anger,Tony Richardson,False
1960,Film | Film From Any Source in 1960,Maigret Sets A Trap (Maigret Tend Un Piège),Jean Delannoy,False
1960,Film | Film From Any Source in 1960,North West Frontier,J Lee Thompson,False
1960,Film | Film From Any Source in 1960,The Nun's Story,Fred Zinnemann,False
1960,Film | Film From Any Source in 1960,Ashes And Diamonds (Popiól I Diament),Andrzej Wajda,False
1960,Film | Film From Any Source in 1960,Sapphire,Basil Dearden,False
1960,Film | Film From Any Source in 1960,Some Like It Hot,Billy Wilder,False
1960,Film | Film From Any Source in 1960,Tiger Bay,J Lee Thompson,False
1960,Film | Film From Any Source in 1960,Yesterday's Enemy,Val Guest,False
1960,Film | Foreign Actor in 1960,Some Like It Hot,Jack Lemmon,True
1960,Film | Foreign Actor in 1960,Ashes And Diamonds (Popiól I Diament),Zbigniew Cybulski,False
1960,Film | Foreign Actor in 1960,Maigret Sets A Trap (Maigret Tend Un Piège),Jean Desailly,False
1960,Film | Foreign Actor in 1960,Maigret Sets A Trap (Maigret Tend Un Piège),Jean Gabin,False
1960,Film | Foreign Actor in 1960,Living (Ikiru),Takashi Shimura,False
1960,Film | Foreign Actor in 1960,Anatomy Of A Murder,James Stewart,False
1960,Film | Foreign Actress in 1960,Ask Any Girl,Shirley MacLaine,True
1960,Film | Foreign Actress in 1960,On The Beach,Ava Gardner,False
1960,Film | Foreign Actress in 1960,I Want To Live,Susan Hayward,False
1960,Film | Foreign Actress in 1960,A Matter Of Dignity,Ella Lambetti,False
1960,Film | Foreign Actress in 1960,Auntie Mame,Rosalind Russell,False
1960,Film | Most Promising Newcomer To Film in 1960,Tiger Bay,Hayley Mills,True
1960,Film | Most Promising Newcomer To Film in 1960,The Siege Of Pinchgut,Gerry Duggan,False
1960,Film | Most Promising Newcomer To Film in 1960,"I'm All Right, Jack",Liz Fraser,False
1960,Film | Most Promising Newcomer To Film in 1960,Anatomy Of A Murder,Joseph N Welch,False
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960",The Savage Eye,"Joseph Strick, Sidney Meyers, Ben Maddow",True
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960",This Is The BBC,Richard Cawston,False
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960",We Are The Lambeth Boys,Karel Reisz,False
1960,"Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1960",White Wilderness,James Algar,False
1961,Film | British Actor in 1961,Peter Finch,The Trials Of Oscar Wilde,True
1961,Film | British Actor in 1961,Richard Attenborough,The Angry Silence,False
1961,Film | British Actor in 1961,Albert Finney,Saturday Night And Sunday Morning,False
1961,Film | British Actor in 1961,John Fraser,The Trials Of Oscar Wilde,False
1961,Film | British Actor in 1961,Alec Guinness,Tunes Of Glory,False
1961,Film | British Actor in 1961,John Mills,Tunes Of Glory,False
1961,Film | British Actor in 1961,Laurence Olivier,The Entertainer,False
1961,Film | British Actress in 1961,Rachel Roberts,Saturday Night And Sunday Morning,True
1961,Film | British Actress in 1961,Wendy Hiller,Sons And Lovers,False
1961,Film | British Actress in 1961,Hayley Mills,Pollyanna,False
1961,Film | British Film in 1961,Saturday Night And Sunday Morning,Karel Reisz,True
1961,Film | British Film in 1961,The Angry Silence,Guy Green,False
1961,Film | British Film in 1961,The Trials Of Oscar Wilde,Ken Hughes,False
1961,Film | British Film in 1961,Tunes Of Glory,Ronald Neame,False
1961,Film | British Screenplay in 1961,The Angry Silence,Bryan Forbes,True
1961,Film | British Screenplay in 1961,The Day They Robbed The Bank Of England,Howard Clewes,False
1961,Film | British Screenplay in 1961,The Entertainer,"John Osborne, Nigel Kneale",False
1961,Film | British Screenplay in 1961,Hell Is A City,Val Guest,False
1961,Film | British Screenplay in 1961,The League Of Gentlemen,Bryan Forbes,False
1961,Film | British Screenplay in 1961,The Millionairess,Wolf Mankowitz,False
1961,Film | British Screenplay in 1961,Saturday Night And Sunday Morning,Alan Sillitoe,False
1961,Film | British Screenplay in 1961,A Touch Of Larceny,"Roger MacDougall, Guy Hamilton, Ivan Foxwell",False
1961,Film | British Screenplay in 1961,The Trials Of Oscar Wilde,Ken Hughes,False
1961,Film | British Screenplay in 1961,Tunes Of Glory,James Kennaway,False
1961,Film | Film From Any Source in 1961,The Apartment,Billy Wilder,True
1961,Film | Film From Any Source in 1961,The Angry Silence,Guy Green,False
1961,Film | Film From Any Source in 1961,The Adventure (L'Avventura),Michelangelo Antonioni,False
1961,Film | Film From Any Source in 1961,The Sweet Life (La Dolce Vita),Federico Fellini,False
1961,Film | Film From Any Source in 1961,Elmer Gantry,Richard Brooks,False
1961,Film | Film From Any Source in 1961,"Hiroshima, My Love (Hiroshima, Mon Amour)",Alain Resnais,False
1961,Film | Film From Any Source in 1961,Inherit The Wind,Stanley Kramer,False
1961,Film | Film From Any Source in 1961,Let's Make Love,George Cukor,False
1961,Film | Film From Any Source in 1961,Never On A Sunday,Jules Dassin,False
1961,Film | Film From Any Source in 1961,Black Orpheus (Orfeu Negro),Marcel Camus,False
1961,Film | Film From Any Source in 1961,The Four Hundred Blows (Les Quatre Cents Coups),François Truffaut,False
1961,Film | Film From Any Source in 1961,Saturday Night And Sunday Morning,Karel Reisz,False
1961,Film | Film From Any Source in 1961,Shadows,John Cassavetes,False
1961,Film | Film From Any Source in 1961,Spartacus,Stanley Kubrick,False
1961,Film | Film From Any Source in 1961,"The Testament Of Orpheus (Le Testament D'Orphée, ou ne me demandez pas pourquoi!)",Jean Cocteau,False
1961,Film | Film From Any Source in 1961,The Trials Of Oscar Wilde,Ken Hughes,False
1961,Film | Film From Any Source in 1961,Tunes Of Glory,Ronald Neame,False
1961,Film | Foreign Actor in 1961,The Apartment,Jack Lemmon,True
1961,Film | Foreign Actor in 1961,Crime And Punishment USA,George Hamilton,False
1961,Film | Foreign Actor in 1961,Elmer Gantry,Burt Lancaster,False
1961,Film | Foreign Actor in 1961,Inherit The Wind,Fredric March,False
1961,Film | Foreign Actor in 1961,Let's Make Love,Yves Montand,False
1961,Film | Foreign Actor in 1961,Inherit The Wind,Spencer Tracy,False
1961,Film | Foreign Actress in 1961,The Apartment,Shirley MacLaine,True
1961,Film | Foreign Actress in 1961,The Angry Silence,Pier Angeli,False
1961,Film | Foreign Actress in 1961,Never On A Sunday,Melina Mercouri,False
1961,Film | Foreign Actress in 1961,"Hiroshima, My Love (Hiroshima, Mon Amour)",Emmanuelle Riva,False
1961,Film | Foreign Actress in 1961,Elmer Gantry,Jean Simmons,False
1961,Film | Foreign Actress in 1961,The Adventure (L'Avventura),Monica Vitti,False
1962,Film | British Actor in 1962,Peter Finch,No Love For Johnnie,True
1962,Film | British Actor in 1962,Dirk Bogarde,Victim,False
1962,Film | British Actress in 1962,Dora Bryan,A Taste Of Honey,True
1962,Film | British Actress in 1962,Deborah Kerr,The Sundowners,False
1962,Film | British Actress in 1962,Hayley Mills,Whistle Down The Wind,False
1962,Film | British Screenplay in 1962,The Day The Earth Caught Fire,"Wolf Mankowitz, Val Guest",True
1962,Film | British Screenplay in 1962,A Taste Of Honey,"Shelagh Delaney, Tony Richardson",True
1962,Film | British Screenplay in 1962,Flame In The Streets,Ted Willis,False
1962,Film | British Screenplay in 1962,The Guns Of Navarone,Carl Foreman,False
1962,Film | British Screenplay in 1962,Victim,"Janet Green, John McCormick",False
1962,Film | British Screenplay in 1962,Whistle Down The Wind,"Keith Waterhouse, Willis Hall",False
1962,Film | Foreign Actor in 1962,The Hustler,Paul Newman,True
1962,Film | Foreign Actor in 1962,Judgment At Nuremberg,Montgomery Clift,False
