nominee,oscar_nomination,emmy_nomination,bafta_nomination,golden_globe_nomination,director_count,writer_count,actor_count
Michael J. Fox,0,0,0,10,0,0,15
Julia Louis-Dreyfus,0,0,0,9,0,0,9
Debra Messing,0,0,0,9,0,0,11
Sarah Jessica Parker,0,0,0,9,0,0,20
Kelsey Grammer,0,0,0,9,0,0,19
Rob Reiner,0,0,0,9,18,1,10
Jean Stapleton,0,0,0,9,0,0,2
Beatrice Arthur,0,0,0,9,0,0,0
David Duchovny,0,0,0,8,1,1,18
Jane Seymour,0,0,0,8,0,0,17
Donald Sutherland,0,0,0,8,0,0,53
Martin Sheen,0,0,0,8,1,0,35
Kyra Sedgwick,0,0,0,8,0,0,18
Bob Newhart,0,0,0,7,0,0,6
Jim Carrey,0,0,0,7,0,0,32
Lucille Ball,0,0,0,7,0,0,5
Hugh Laurie,0,0,0,7,0,0,14
Tom Selleck,0,0,0,7,0,0,11
Sharon Gless,0,0,0,7,0,0,1
Tina Fey,0,0,0,6,0,1,12
Susan Dey,0,0,0,6,0,0,0
Jon Hamm,0,0,0,6,0,0,16
Richard Chamberlain,0,0,0,6,0,0,7
Joan Collins,0,0,0,6,0,0,3
John Forsythe,0,0,0,6,0,0,2
Kiefer Sutherland,0,0,0,6,1,0,36
Idris Elba,0,0,0,6,0,0,31
Liev Schreiber,0,0,0,6,1,1,32
James Brolin,0,0,0,6,0,0,15
Jeremy Piven,0,0,0,6,0,0,29
Danny DeVito,0,0,0,6,6,0,50
Mike Connors,0,0,0,6,0,0,4
Eric McCormack,0,0,0,6,0,0,4
Sean P. Hayes,0,0,0,6,0,0,0
Tony Randall,0,0,0,6,0,0,4
Kirstie Alley,0,0,0,6,0,0,11
Farrah Fawcett,0,0,0,6,0,0,6
Heather Locklear,0,0,0,6,0,0,6
Rob Lowe,0,0,0,6,0,0,22
Rhea Perlman,0,0,0,6,0,0,8
Henry Winkler,0,0,0,6,2,0,10
Michael C. Hall,0,0,0,5,0,0,4
Stefanie Powers,0,0,0,5,0,0,1
John Ritter,0,0,0,5,0,0,15
Marilu Henner,0,0,0,5,0,0,7
Robert Young,0,0,0,5,4,0,3
Claire Danes,0,0,0,5,0,0,16
Gavin MacLeod,0,0,0,5,0,0,3
Robert Wagner,0,0,0,5,0,0,20
Cynthia Nixon,0,0,0,5,0,0,13
Valerie Harper,0,0,0,5,0,0,0
Bill Cosby,0,0,0,5,0,2,5
Tim Allen,0,0,0,5,1,0,20
Isabel Sanford,0,0,0,5,0,0,4
Peter Strauss,0,0,0,5,0,0,9
Katey Sagal,0,0,0,5,0,0,4
Jason Robards Jr.,0,0,0,5,0,0,0
John Goodman,0,0,0,5,0,0,52
Steve Martin,0,0,0,5,3,6,33
Calista Flockhart,0,0,0,5,0,0,5
Dean Martin,0,0,0,5,0,0,8
Linda Evans,0,0,0,5,0,0,0
Roseanne Barr,0,0,0,5,0,0,4
Daniel J. Travanti,0,0,0,5,0,0,2
Mary-Louise Parker,0,0,0,5,0,0,22
John Hillerman,0,0,0,5,0,0,7
Tony Shalhoub,0,0,0,5,0,0,25
Tyne Daly,0,0,0,5,0,0,5
Matt LeBlanc,0,0,0,5,0,0,5
Gillian Anderson,0,0,0,5,0,0,15
Cybill Shepherd,0,0,0,5,0,0,8
David Hyde-Pierce,0,0,0,5,0,0,0
Danny Kaye,0,0,0,5,0,0,1
Nancy Walker,0,0,0,4,1,0,0
Julie Kavner,0,0,0,4,0,0,10
Jennifer Garner,0,0,0,4,0,0,25
Hal Linden,0,0,0,4,0,0,3
Anthony Edwards,0,0,0,4,0,0,19
Betty White,0,0,0,4,0,0,8
Elizabeth Montgomery,0,0,0,4,0,0,0
Redd Foxx,0,0,0,4,0,0,1
Bruce Willis,0,0,0,4,0,1,68
Damian Lewis,0,0,0,4,0,0,15
Michael Learned,0,0,0,4,0,0,3
Kim Cattrall,0,0,0,4,0,0,18
Sofia Vergara,0,0,0,4,0,0,0
Loretta Swit,0,0,0,4,0,0,0
Elisabeth Moss,0,0,0,4,0,0,14
James Gandolfini,0,0,0,4,0,0,28
David Carradine,0,0,0,4,1,0,29
Cameron Diaz,0,0,0,4,0,0,31
Megan Mullally,0,0,0,4,0,0,18
Jason Alexander,0,0,0,4,0,0,14
Jeff Daniels,0,0,0,4,1,1,34
Angie Dickinson,0,0,0,4,0,0,10
Beau Bridges,0,0,0,4,2,0,24
Jason Bateman,0,0,0,4,2,0,31
Jennifer Aniston,0,0,0,4,0,0,32
Polly Holliday,0,0,0,4,0,0,4
Caitriona Balfe,0,0,0,4,0,0,4
Robin Wright,0,0,0,4,0,0,28
Larry Hagman,0,0,0,4,0,0,2
Jimmy Smits,0,0,0,4,0,0,13
Armand Assante,0,0,0,4,0,0,29
Jill Eikenberry,0,0,0,4,0,0,6
Christina Applegate,0,0,0,4,0,0,23
Beth Howland,0,0,0,4,0,0,0
Gail Fisher,0,0,0,4,0,0,0
Paul Reiser,0,0,0,4,0,1,14
Steve Buscemi,0,0,0,4,3,1,53
Bill Paxton,0,0,0,4,2,0,35
Pat Harrington,0,0,0,4,0,0,0
Sally Struthers,0,0,0,4,0,0,2
Richard Gere,0,0,0,4,0,0,33
Craig T. Nelson,0,0,0,4,0,0,23
Harvey Korman,0,0,0,4,0,0,9
Shelley Long,0,0,0,4,0,0,11
Mark Harmon,0,0,0,4,0,0,5
Kate Jackson,0,0,0,4,0,0,0
Sela Ward,0,0,0,4,0,0,12
Neil Patrick Harris,0,0,0,4,0,0,14
Raul Julia,0,0,0,4,0,0,15
Jacqueline Bisset,0,0,0,4,0,0,18
Peggy Lipton,0,0,0,4,0,0,6
Jerry Seinfeld,0,0,0,4,0,1,1
Susan St. James,0,0,0,3,0,0,0
Harry Hamlin,0,0,0,3,0,0,5
Bradley Whitford,0,0,0,3,0,0,26
Park Overall,0,0,0,3,0,0,3
Scott Bakula,0,0,0,3,0,0,13
Amy Brenneman,0,0,0,3,0,0,9
Patrick Swayze,0,0,0,3,0,0,21
Charlie Sheen,0,0,0,3,0,0,26
Marg Helgenberger,0,0,0,3,0,0,10
Marcia Cross,0,0,0,3,0,0,1
Rue McClanahan,0,0,0,3,0,0,4
Ricky Gervais,0,0,0,3,3,3,12
Richard Mulligan,0,0,0,3,0,0,5
Penny Marshall,0,0,0,3,6,0,2
Jonathan Rhys Meyers,0,0,0,3,0,0,22
Kelly MacDonald,0,0,0,3,0,0,11
Valerie Bertinelli,0,0,0,3,0,0,0
Katherine Helmond,0,0,0,3,0,0,7
Louis Gossett Jr.,0,0,0,3,0,0,24
Billy Crystal,0,0,0,3,1,4,17
Linda Lavin,0,0,0,3,0,0,9
Linda Kelsey,0,0,0,3,0,0,1
Flip Wilson,0,0,0,3,0,0,0
Larry Drake,0,0,0,3,0,0,3
Meg Ryan,0,0,0,3,0,0,26
James Spader,0,0,0,3,0,0,20
Tony Danza,0,0,0,3,0,0,6
Vic Tayback,0,0,0,3,0,0,8
Andie MacDowell,0,0,0,3,0,0,26
Zach Braff,0,0,0,3,3,2,7
Loni Anderson,0,0,0,3,0,0,2
Sada Thompson,0,0,0,3,0,0,1
Estelle Getty,0,0,0,3,0,0,4
Vicki Lawrence,0,0,0,3,0,0,0
Robert Blake,0,0,0,3,0,0,4
Kieran Culkin,0,0,0,3,0,0,14
Sam Neill,0,0,0,3,0,0,36
Drew Barrymore,0,0,0,3,1,0,34
Richard Kiley,0,0,0,3,0,0,2
Debbie Allen,0,0,0,3,0,0,3
Sarah Paulson,0,0,0,3,0,0,15
Dabney Coleman,0,0,0,3,0,0,15
Larry David,0,0,0,3,0,0,3
Jane Kaczmarek,0,0,0,3,0,0,6
Mandy Patinkin,0,0,0,3,0,0,16
Bernadette Peters,0,0,0,3,0,0,8
Evan Rachel Wood,0,0,0,3,0,0,21
Robert Guillaume,0,0,0,3,0,0,8
Michael Chiklis,0,0,0,3,0,0,8
Sônia Braga,0,0,0,3,0,0,11
Jeffrey Tambor,0,0,0,3,0,0,36
Kevin Bacon,0,0,0,3,0,0,37
Bob Odenkirk,0,0,0,3,1,0,12
Alberto Sordi,0,0,0,3,1,2,8
Christian Slater,0,0,0,3,0,0,42
Dylan McDermott,0,0,0,3,0,0,22
Ellen DeGeneres,0,0,0,3,0,0,4
Keri Russell,0,0,0,3,0,0,15
Patrick Stewart,0,0,0,3,0,0,30
Gina Rodriguez,0,0,0,3,0,0,8
Marlo Thomas,0,0,0,3,0,0,0
Amy Poehler,0,0,0,3,0,1,21
Lena Dunham,0,0,0,3,1,1,5
Ben Gazzara,0,0,0,3,0,0,16
Richard Crenna,0,0,0,3,0,0,9
Kathy Baker,0,0,0,3,0,0,20
Claire Foy,0,0,0,3,0,0,7
Jenna Elfman,0,0,0,3,0,0,6
Lance Henriksen,0,0,0,3,0,0,46
Noah Wyle,0,0,0,3,0,0,7
Efrem Zimbalist Jr.,0,0,0,3,0,0,3
Rachel Brosnahan,0,0,0,3,0,0,5
Glenn Ford,0,0,0,3,0,0,7
Zooey Deschanel,0,0,0,3,0,0,22
Ewan McGregor,0,0,0,3,0,0,46
Janine Turner,0,0,0,3,0,0,8
Peter Graves,0,0,0,3,0,0,7
Linda Hamilton,0,0,0,3,0,0,12
Denise Nicholas,0,0,0,3,0,0,2
Amanda Blake,0,0,0,3,0,0,3
Eric Stonestreet,0,0,0,3,0,0,4
Rob Morrow,0,0,0,3,0,0,8
Jim Parsons,0,0,0,3,0,0,5
Thomas Jane,0,0,0,3,1,0,26
Ann Jillian,0,0,0,2,0,0,0
Brian Cox,0,0,0,2,0,0,47
Nell Carter,0,0,0,2,0,0,3
Anthony Andrews,0,0,0,2,0,0,2
Maria Bello,0,0,0,2,0,0,30
Hope Davis,0,0,0,2,0,0,19
Linda Cristal,0,0,0,2,0,0,0
Jack Black,0,0,0,2,0,1,29
January Jones,0,0,0,2,0,0,10
Rachel Ward,0,0,0,2,1,1,6
Jan-Michael Vincent,0,0,0,2,0,0,5
Earl Holliman,0,0,0,2,0,0,6
Bernie Mac,0,0,0,2,0,0,18
Steven Bauer,0,0,0,2,0,0,17
Taina Elg,0,0,0,2,0,0,4
Michael Imperioli,0,0,0,2,0,0,14
Andre Braugher,0,0,0,2,0,0,12
Sherry Stringfield,0,0,0,2,0,0,3
Marilyn Monroe,0,0,0,2,0,0,8
Joely Richardson,0,0,0,2,0,0,18
Chrissy Metz,0,0,0,2,0,0,1
Frances O'Connor,0,0,0,2,0,0,14
Blair Brown,0,0,0,2,0,0,6
Treat Williams,0,0,0,2,0,0,25
Matthew Rhys,0,0,0,2,0,0,7
Stephen Boyd,0,0,0,2,0,0,3
William Conrad,0,0,0,2,0,0,1
Linda Gray,0,0,0,2,0,0,2
Susan Ruttan,0,0,0,2,0,0,4
Lilli Palmer,0,0,0,2,0,0,2
Jack Klugman,0,0,0,2,0,0,2
Patrick Wilson,0,0,0,2,0,0,25
Lee Pace,0,0,0,2,0,0,12
Thandie Newton,0,0,0,2,0,0,22
Corbin Bernsen,0,0,0,2,1,1,17
Julie Sommars,0,0,0,2,0,0,1
Ken Wahl,0,0,0,2,0,0,6
Hermione Gingold,0,0,0,2,0,0,1
Bonnie Franklin,0,0,0,2,0,0,0
Issa Rae,0,0,0,2,0,0,3
Anthony Anderson,0,0,0,2,0,0,33
Harry Guardino,0,0,0,2,0,0,5
Donald Glover,0,0,0,2,0,1,6
Fran Drescher,0,0,0,2,0,0,8
Alison Brie,0,0,0,2,0,0,9
Michael Constantine,0,0,0,2,0,0,8
Roma Downey,0,0,0,2,0,0,1
Simon Baker,0,0,0,2,0,0,13
Peter Krause,0,0,0,2,0,0,4
Lea Michele,0,0,0,2,0,0,1
Ashley Judd,0,0,0,2,0,0,26
Henry Gibson,0,0,0,2,0,0,13
Brooke Shields,0,0,0,2,0,0,13
Rutger Hauer,0,0,0,2,0,0,40
Bill Hader,0,0,0,2,0,0,27
Sue Ane Langdon,0,0,0,2,0,0,3
Matthew Morrison,0,0,0,2,0,0,5
Don Johnson,0,0,0,2,0,0,18
Leelee Sobieski,0,0,0,2,0,0,12
Cantinflas,0,0,0,2,0,1,2
Michael Tucker,0,0,0,2,0,0,5
Jennifer Lopez,0,0,0,2,0,0,29
Chad Everett,0,0,0,2,0,0,3
Edward Woodward,0,0,0,2,0,0,4
Kim Delaney,0,0,0,2,0,0,2
Jan Niklas,0,0,0,2,0,0,2
Joseph Gordon-Levitt,0,0,0,2,1,1,27
Kirk Cameron,0,0,0,2,0,0,6
John Lone,0,0,0,2,0,0,8
Pat Morita,0,0,0,2,0,0,11
Richard Benjamin,0,0,0,2,10,0,7
Christine Baranski,0,0,0,2,0,0,27
Ed O'Neill,0,0,0,2,0,0,13
Bonnie Hunt,0,0,0,2,1,1,21
Blair Underwood,0,0,0,2,0,0,10
Ellen Barkin,0,0,0,2,0,0,21
Stacy Keach,0,0,0,2,0,0,20
Billy Porter,0,0,0,2,0,0,3
Jane Lynch,0,0,0,2,0,0,26
Frankie Muniz,0,0,0,2,0,0,8
Nathan Lane,0,0,0,2,0,0,18
Pierce Brosnan,0,0,0,2,0,0,42
Bruce Weitz,0,0,0,2,0,0,2
Dennis Quaid,0,0,0,2,0,0,45
Gilbert Roland,0,0,0,2,0,0,4
Bob Hope,0,0,0,2,0,0,1
Tim Conway,0,0,0,2,0,1,5
Ben Affleck,0,0,0,2,4,4,36
Fred Savage,0,0,0,2,1,0,5
David Janssen,0,0,0,2,0,0,4
Yvette Mimieux,0,0,0,2,0,0,2
Daniel Brühl,0,0,0,2,0,0,28
Oscar Isaac,0,0,0,2,0,0,23
Demi Moore,0,0,0,2,0,0,27
Chris Noth,0,0,0,2,0,0,10
David Spade,0,0,0,2,0,2,15
Paul Mann,0,0,0,2,0,0,1
Kyle MacLachlan,0,0,0,2,0,0,18
Jason Lee,0,0,0,2,0,0,27
Sandra Oh,0,0,0,2,0,0,17
Elizabeth Perkins,0,0,0,2,0,0,15
Dana Delaney,0,0,0,2,0,0,0
Patricia Richardson,0,0,0,2,0,0,3
Tom Skerritt,0,0,0,2,0,0,24
David Oyelowo,0,0,0,2,0,0,16
Taylor Schilling,0,0,0,2,0,0,5
Lindsay Wagner,0,0,0,2,0,0,2
Matthew Modine,0,0,0,2,0,0,25
Susan Blakely,0,0,0,2,0,0,9
Dick Van Dyke,0,0,0,2,0,0,8
Kerry Washington,0,0,0,2,0,0,22
Geraldine Chaplin,0,0,0,2,0,0,31
Katherine Heigl,0,0,0,2,0,0,17
Richard Thomas,0,0,0,2,0,0,3
Ray Romano,0,0,0,2,0,0,7
Ted Knight,0,0,0,2,0,0,1
Jason Priestley,0,0,0,2,0,0,7
Barbara Eden,0,0,0,2,0,0,1
Kate Reid,0,0,0,2,0,0,4
Dominic West,0,0,0,2,0,0,19
Ruth Wilson,0,0,0,2,0,0,5
Audra Lindley,0,0,0,2,0,0,8
Will Geer,0,0,0,2,0,0,0
Jimmie Walker,0,0,0,2,0,0,2
Nancy Sinatra,0,0,0,2,0,0,1
Hayden Panettiere,0,0,0,2,0,0,12
Rupert Everett,0,0,0,2,0,0,19
Lee Meriwether,0,0,0,2,0,0,3
Jean Marsh,0,0,0,2,0,0,4
Louis C.K.,0,0,0,2,1,2,6
John Corbett,0,0,0,2,0,0,16
Connie Britton,0,0,0,2,0,0,13
Raquel Welch,0,0,0,2,0,0,5
Shailene Woodley,0,0,0,2,0,0,8
Juliet Mills,0,0,0,2,0,0,3
Thomas Gibson,0,0,0,2,0,0,7
Raymond Burr,0,0,0,2,0,0,7
Faith Ford,0,0,0,2,0,0,1
Garry Shandling,0,0,0,2,0,1,8
John Frankenheimer,0,0,0,2,9,1,0
Michael Moriarty,0,0,0,2,0,0,9
Kristy McNichol,0,0,0,2,0,0,4
Teri Hatcher,0,0,0,2,0,0,11
Brett Butler,0,0,0,2,0,0,0
Andy Kaufman,0,0,0,2,0,0,1
Aziz Ansari,0,0,0,2,0,0,5
Romola Garai,0,0,0,2,0,0,11
George Hamilton,0,0,0,2,0,0,9
Herschel Bernardi,0,0,0,2,0,0,2
Gael García Bernal,0,0,0,2,0,0,18
Robert Urich,0,0,0,2,0,0,1
Edgar Ramírez,0,0,0,2,0,0,14
Rachel Bloom,0,0,0,2,0,0,2
Jeff Conway,0,0,0,2,0,0,0
Gina Lollobrigida,0,0,0,2,0,0,4
Bridget Fonda,0,0,0,2,0,0,21
Dennis Franz,0,0,0,2,0,0,7
Mariska Hargitay,0,0,0,2,0,0,3
John Turturro,0,0,0,2,0,0,47
Joanne Froggatt,0,0,0,2,0,0,5
Rose Byrne,0,0,0,2,0,0,28
Ray Sharkey,0,0,0,2,0,0,9
Patrick Dempsey,0,0,0,2,0,0,15
Paul Le Mat,0,0,0,2,0,0,6
Edward Zwick,0,0,0,2,11,3,0
Camryn Manheim,0,0,0,2,0,0,14
Uzo Aduba,0,0,0,2,0,0,1
John Mahoney,0,0,0,2,0,0,20
Denis Leary,0,0,0,2,0,1,21
Dolly Parton,0,0,0,2,0,0,5
Tobias Menzies,0,0,0,2,0,0,4
Will Ferrell,0,0,0,2,0,5,38
William Shatner,0,0,0,2,1,1,18
Ian McShane,0,0,0,2,0,0,21
Alan Cumming,0,0,0,2,1,0,25
Wendie Malick,0,0,0,1,0,0,8
Ving Rhames,0,0,0,1,0,0,45
Shekhar Kapur,0,0,0,1,3,0,1
Christopher Reeve,0,0,0,1,1,0,11
Jena Malone,0,0,0,1,0,0,19
Nancy Marchand,0,0,0,1,0,0,4
Thora Birch,0,0,0,1,0,0,11
Kevin Anderson,0,0,0,1,0,0,12
John Cusack,0,0,0,1,0,1,48
Stephen Fry,0,0,0,1,1,3,19
Jane Horrocks,0,0,0,1,0,0,9
Susan Sullivan,0,0,0,1,0,0,2
Joe Mantegna,0,0,0,1,0,0,29
Sarah Michelle Gellar,0,0,0,1,0,0,13
Björk,0,0,0,1,2,1,48
Eriq La Salle,0,0,0,1,1,0,5
Christina Ricci,0,0,0,1,0,0,27
Jessica Alba,0,0,0,1,0,0,21
Gloria Reuben,0,0,0,1,0,0,6
Della Reese,0,0,0,1,0,0,5
Brian Dennehy,0,0,0,1,0,0,25
William O. Campbell,0,0,0,1,0,0,0
István Szabó,0,0,0,1,4,2,0
Jane Krakowski,0,0,0,1,0,0,13
Joely Fisher,0,0,0,1,0,0,5
Tom Sizemore,0,0,0,1,0,1,45
Benicio del Toro,0,0,0,1,1,0,31
"Deep End, The",0,0,0,1,0,0,0
Masi Oka,0,0,0,1,0,0,5
John Cameron Mitchell,0,0,0,1,4,3,3
Martin Freeman,0,0,0,1,0,0,17
Matt Bomer,0,0,0,1,0,0,7
Colin Hanks,0,0,0,1,0,0,12
Amy Schumer,0,0,0,1,0,1,5
Paul Dano,0,0,0,1,0,0,21
Sarah Hay,0,0,0,1,0,0,0
Eva Green,0,0,0,1,0,0,13
Wagner Moura,0,0,0,1,0,0,9
Maura Tierney,0,0,0,1,0,0,13
Judith Light,0,0,0,1,0,0,2
Ben Mendelsohn,0,0,0,1,0,0,28
Joel Edgerton,0,0,0,1,2,4,23
Lily Collins,0,0,0,1,0,0,7
Ryan Reynolds,0,0,0,1,0,0,31
Aaron Taylor-Johnson,0,0,0,1,0,1,12
Simon Helberg,0,0,0,1,0,0,6
Michelle Monaghan,0,0,0,1,0,0,22
Allison Tolman,0,0,0,1,0,0,5
Ava DuVernay,0,0,0,1,4,2,0
Sienna Miller,0,0,0,1,0,0,14
Toby Jones,0,0,0,1,0,0,29
Michelle Dockery,0,0,0,1,0,0,5
Archie Panjabi,0,0,0,1,0,0,8
Max Greenfield,0,0,0,1,0,0,6
Danny Huston,0,0,0,1,1,0,34
Julie Delpy,0,0,0,1,2,4,16
Rebecca Ferguson,0,0,0,1,0,0,14
Tatiana Maslany,0,0,0,1,0,0,11
Michael Sheen,0,0,0,1,0,0,26
Andy Samberg,0,0,0,1,0,1,14
Monica Potter,0,0,0,1,0,0,12
Corey Stoll,0,0,0,1,0,0,15
Aaron Paul,0,0,0,1,0,0,14
Josh Charles,0,0,0,1,0,0,9
Riley Keough,0,0,0,1,0,0,9
Tom Hiddleston,0,0,0,1,0,0,14
Darren Criss,0,0,0,1,0,0,1
Richard Madden,0,0,0,1,0,0,3
Stephan James,0,0,0,1,0,0,4
Kristen Bell,0,0,0,1,0,0,21
Alex Borstein,0,0,0,1,0,0,11
Yvonne Strahovski,0,0,0,1,0,0,7
Ben Whishaw,0,0,0,1,0,0,17
Awkwafina,0,0,0,1,0,0,6
Beanie Feldstein,0,0,0,1,0,0,3
Daniel Craig,0,0,0,1,0,0,26
Roman Griffin Davis,0,0,0,1,0,0,0
Kaitlyn Dever,0,0,0,1,0,0,5
Joey King,0,0,0,1,0,0,13
Merritt Wever,0,0,0,1,0,0,6
Christopher Abbott,0,0,0,1,0,0,6
Jared Harris,0,0,0,1,0,0,30
Jodie Comer,0,0,0,1,0,0,1
Kit Harington,0,0,0,1,0,0,8
Phoebe Waller-Bridge,0,0,0,1,0,0,2
Natasha Lyonne,0,0,0,1,0,0,21
Ramy Youssef,0,0,0,1,0,0,0
Ben Platt,0,0,0,1,0,0,4
Paul Rudd,0,0,0,1,0,0,39
Stellan Skarsgård,0,0,0,1,0,0,46
Peter Farrelly,0,0,0,1,13,6,0
Courtney B. Vance,0,0,0,1,0,0,16
Tracee Ellis Ross,0,0,0,1,0,0,5
Lena Headey,0,0,0,1,0,0,24
Mandy Moore,0,0,0,1,0,0,15
Ansel Elgort,0,0,0,1,0,0,9
Armie Hammer,0,0,0,1,0,0,13
Jessica Biel,0,0,0,1,0,0,27
Lin-Manuel Miranda,0,0,0,1,0,0,3
Katherine Langford,0,0,0,1,0,0,1
Freddie Highmore,0,0,0,1,0,0,15
Pamela Adlon,0,0,0,1,0,0,11
Frankie Shaw,0,0,0,1,0,0,3
Ann Dowd,0,0,0,1,0,0,19
Alexander Skarsgård,0,0,0,1,0,0,14
David Harbour,0,0,0,1,0,0,17
Alfred Molina,0,0,0,1,0,0,46
David Thewlis,0,0,0,1,0,0,26
John David Washington,0,0,0,1,0,0,1
Elsie Fisher,0,0,0,1,0,0,5
Constance Wu,0,0,0,1,0,0,5
Guy Pearce,0,0,0,1,0,0,33
Peter Dinklage,0,0,0,1,0,0,23
Johnny Galecki,0,0,0,1,0,0,11
Michael Ealy,0,0,0,1,0,0,18
Ben Shenkman,0,0,0,1,0,0,10
Emmy Rossum,0,0,0,1,0,0,10
Marc Forster,0,0,0,1,11,1,0
Blythe Danner,0,0,0,1,0,0,28
Mos Def,0,0,0,1,0,0,0
Julian McMahon,0,0,0,1,0,0,9
Drea de Matteo,0,0,0,1,0,0,7
Nicollette Sheridan,0,0,0,1,0,0,6
Oliver Platt,0,0,0,1,0,0,33
Ziyi Zhang,0,0,0,1,0,0,15
S. Epatha Merkerson,0,0,0,1,0,0,11
Polly Walker,0,0,0,1,0,0,11
Matthew Fox,0,0,0,1,0,0,7
Wentworth Miller,0,0,0,1,0,2,4
Eva Longoria,0,0,0,1,0,0,11
Naveen Andrews,0,0,0,1,0,0,8
Beyoncé,0,0,0,1,0,0,4
Aaron Eckhart,0,0,0,1,0,0,30
Kristin Davis,0,0,0,1,0,0,6
Alicia Silverstone,0,0,0,1,0,0,17
Bitty Schram,0,0,0,1,0,0,5
Hayden Christensen,0,0,0,1,0,0,16
Baz Luhrmann,0,0,0,1,4,3,0
Hannah Taylor Gordon,0,0,0,1,0,0,2
Barry Pepper,0,0,0,1,0,0,25
Lauren Graham,0,0,0,1,0,0,12
Tom Cavanagh,0,0,0,1,0,0,5
Tammy Blanchard,0,0,0,1,0,0,11
Ron Livingston,0,0,0,1,0,0,24
Nia Vardalos,0,0,0,1,1,5,6
Adam Sandler,0,0,0,1,0,9,33
Reba McEntire,0,0,0,1,0,0,3
Michael Gambon,0,0,0,1,0,0,34
Linus Roache,0,0,0,1,0,0,15
Parker Posey,0,0,0,1,0,0,24
Dennis Haysbert,0,0,0,1,0,0,27
Peter Sarsgaard,0,0,0,1,0,0,26
Troy Garity,0,0,0,1,0,0,11
Frances Conroy,0,0,0,1,0,0,22
Amber Tamblyn,0,0,0,1,0,0,9
Anthony LaPaglia,0,0,0,1,0,0,25
William L. Petersen,0,0,0,1,0,0,0
Matthew Perry,0,0,0,1,0,0,7
Mireille Enos,0,0,0,1,0,0,3
Ellen Pompeo,0,0,0,1,0,0,3
Courteney Cox,0,0,0,1,0,0,14
Jane Adams,0,0,0,1,0,0,22
Michael Emerson,0,0,0,1,0,0,3
Mila Kunis,0,0,0,1,0,0,20
Jennifer Love Hewitt,0,0,0,1,0,0,11
Hayley Atwell,0,0,0,1,0,0,12
Piper Perabo,0,0,0,1,0,0,18
Julia Stiles,0,0,0,1,0,0,27
Chris Colfer,0,0,0,1,0,0,0
Scott Caan,0,0,0,1,0,0,19
Kristen Wiig,0,0,0,1,0,1,25
Owen Wilson,0,0,0,1,0,3,43
Hugh Bonneville,0,0,0,1,0,0,15
Madeleine Stowe,0,0,0,1,0,0,15
Callie Thorne,0,0,0,1,0,0,7
Michael Stuhlbarg,0,0,0,1,0,0,16
Tobey Maguire,0,0,0,1,0,0,16
James Nesbitt,0,0,0,1,0,0,10
Evangeline Lilly,0,0,0,1,0,0,6
Justin Kirk,0,0,0,1,0,0,12
James McAvoy,0,0,0,1,0,0,28
Nikki Blonsky,0,0,0,1,0,0,3
Joe Wright,0,0,0,1,6,0,1
Tim Burton,0,0,0,1,19,4,0
Bryce Dallas Howard,0,0,0,1,0,0,13
Adam Beach,0,0,0,1,0,0,8
Jason Isaacs,0,0,0,1,0,0,25
Anna Friel,0,0,0,1,0,0,9
Jaime Pressly,0,0,0,1,0,0,11
Kevin Dillon,0,0,0,1,0,0,13
Andy Serkis,0,0,0,1,1,0,26
Rebecca Hall,0,0,0,1,0,0,14
Gabriel Byrne,0,0,0,1,0,1,33
Kevin Connolly,0,0,0,1,2,0,8
Melissa George,0,0,0,1,0,0,13
Eileen Atkins,0,0,0,1,0,0,13
Lewis Gilbert,0,0,0,1,5,1,0
Ugo Tognazzi,0,0,0,1,1,0,6
Anne Heywood,0,0,0,1,0,0,2
Phyllis Diller,0,0,0,1,0,0,4
Christopher George,0,0,0,1,0,0,6
Robert Culp,0,0,0,1,0,0,2
Anouk Aimée,0,0,0,1,0,0,6
John Saxon,0,0,0,1,0,0,12
Jocelyn Lagarde,0,0,0,1,0,0,0
Lionel Jeffries,0,0,0,1,2,1,5
Quentin Dean,0,0,0,1,0,0,2
Pruenella Ransome,0,0,0,1,0,0,0
Brendon Boone,0,0,0,1,0,0,0
Andy Williams,0,0,0,1,0,0,2
Barbara Bain,0,0,0,1,0,0,3
Beryl Reid,0,0,0,1,0,0,1
Zero Mostel,0,0,0,1,0,0,0
Barbara Hancock,0,0,0,1,0,0,0
Abbey Lincoln,0,0,0,1,0,0,1
Anne Francis,0,0,0,1,0,1,2
Yvonne Elliman,0,0,0,1,0,0,0
Dorothy Loudon,0,0,0,1,0,0,1
Elizabeth Ashley,0,0,0,1,0,0,5
Jean Seberg,0,0,0,1,0,0,2
Rita Hayworth,0,0,0,1,0,0,2
David McCallum,0,0,0,1,0,0,6
Inger Stevens,0,0,0,1,0,0,4
Lorne Greene,0,0,0,1,0,0,1
Richard Boone,0,0,0,1,0,0,5
E. G. Marshall,0,0,0,1,0,0,0
Jill St. John,0,0,0,1,0,0,4
Molly Picon,0,0,0,1,0,0,2
Cyril Delevanti,0,0,0,1,0,0,2
Gene Barry,0,0,0,1,0,0,3
James Franciscus,0,0,0,1,0,0,5
Julie Newmar,0,0,0,1,0,0,2
Jerry Lewis,0,0,0,1,1,2,9
Guy Green,0,0,0,1,0,0,2
Don Adams,0,0,0,1,0,0,1
Jane Morrow,0,0,0,1,0,0,0
Ossie Davis,0,0,0,1,1,0,13
